id,user_id,movie_id,rating,content
463846,452,94,1,NULL
463847,253,518,5,NULL
463848,888,644,4,NULL
463849,838,919,5,NULL
463850,484,720,4,NULL
463853,387,518,4,NULL
463854,318,187,4,NULL
463855,854,620,2,NULL
463856,411,79,4,NULL
463857,655,359,3,NULL
463858,775,313,4,NULL
463860,532,282,5,NULL
463862,899,291,4,NULL
463865,913,168,4,NULL
463866,18,604,5,NULL
463867,870,83,4,NULL
463868,486,544,4,NULL
463869,682,684,3,NULL
463870,758,895,4,NULL
463871,860,204,4,NULL
463872,823,640,1,NULL
463873,601,921,5,NULL
463874,833,436,2,NULL
463875,894,148,3,NULL
463876,459,127,4,NULL
463877,655,76,3,NULL
463878,497,743,3,NULL
463879,551,54,3,NULL
463880,897,378,5,NULL
463881,878,269,4,NULL
463882,648,217,2,NULL
463883,838,258,5,NULL
463884,880,876,4,NULL
463885,760,111,4,NULL
463886,847,447,3,NULL
463887,931,283,4,NULL
463888,648,629,4,NULL
463889,13,905,2,NULL
463890,829,286,4,NULL
463891,735,321,3,NULL
463892,350,427,5,NULL
463893,868,854,4,NULL
463894,915,334,3,NULL
463895,654,255,2,NULL
463896,934,257,4,NULL
463897,818,269,3,NULL
463898,933,211,4,NULL
463899,897,479,4,NULL
463900,796,478,5,NULL
463901,807,831,4,NULL
463902,804,238,4,NULL
463903,786,849,2,NULL
463904,903,89,4,NULL
463905,854,713,4,NULL
463906,851,833,3,NULL
463907,804,216,4,NULL
463908,851,340,5,NULL
463909,903,642,4,NULL
463910,452,520,3,NULL
463911,568,423,4,NULL
463912,736,748,2,NULL
463913,440,462,5,NULL
463914,833,24,4,NULL
463915,548,275,3,NULL
463916,11,451,2,NULL
463917,655,43,3,NULL
463918,798,191,4,NULL
463919,670,705,5,NULL
463920,942,322,3,NULL
463921,474,663,4,NULL
463923,757,27,4,NULL
463924,74,331,4,NULL
463925,665,33,2,NULL
463926,396,281,3,NULL
463927,882,405,4,NULL
463928,524,135,3,NULL
463929,815,660,4,NULL
463930,545,155,3,NULL
463931,541,993,4,NULL
463932,758,216,4,NULL
463933,180,40,4,NULL
463934,406,604,3,NULL
463935,94,474,5,NULL
463936,655,844,4,NULL
463937,525,282,4,NULL
463938,864,55,4,NULL
463939,763,732,3,NULL
463940,847,289,5,NULL
463941,885,274,5,NULL
463942,13,176,3,NULL
463943,916,423,3,NULL
463944,903,111,3,NULL
463945,216,129,4,NULL
463946,839,813,4,NULL
463947,537,302,4,NULL
463948,715,95,4,NULL
463950,653,96,4,NULL
463951,806,230,4,NULL
463952,756,22,3,NULL
463953,885,568,4,NULL
463954,406,531,3,NULL
463955,752,751,4,NULL
463956,913,132,3,NULL
463957,897,864,4,NULL
463958,569,471,3,NULL
463959,889,431,4,NULL
463960,931,300,5,NULL
463961,798,498,3,NULL
463962,747,288,4,NULL
463963,112,332,4,NULL
463964,936,926,4,NULL
463965,839,7,2,NULL
463966,887,22,5,NULL
463967,268,719,1,NULL
463968,896,143,4,NULL
463969,666,660,4,NULL
463970,560,168,4,NULL
463971,588,307,4,NULL
463972,331,1,1,NULL
463973,534,597,5,NULL
463974,533,255,2,NULL
463975,304,323,3,NULL
463976,804,393,3,NULL
463977,887,222,3,NULL
463978,805,214,2,NULL
463979,660,217,2,NULL
463980,888,153,4,NULL
463981,917,287,4,NULL
463982,747,367,3,NULL
463983,265,975,4,NULL
463984,870,211,3,NULL
463985,586,117,4,NULL
463986,23,181,4,NULL
463988,796,391,4,NULL
463989,523,42,3,NULL
463990,882,56,4,NULL
463991,707,632,4,NULL
463992,802,358,3,NULL
463993,872,272,4,NULL
463994,326,94,4,NULL
463995,653,670,1,NULL
463996,877,288,3,NULL
463997,548,254,1,NULL
463998,788,482,4,NULL
463999,719,655,4,NULL
464000,619,121,5,NULL
464001,931,896,3,NULL
464002,774,568,2,NULL
464003,720,321,4,NULL
464004,642,969,2,NULL
464006,851,266,3,NULL
464007,819,246,4,NULL
464008,734,144,2,NULL
464009,766,40,3,NULL
464010,922,175,3,NULL
464011,867,496,5,NULL
464012,161,177,2,NULL
464013,880,956,3,NULL
464014,731,125,3,NULL
464015,662,246,5,NULL
464016,815,945,4,NULL
464017,938,298,4,NULL
464018,847,56,1,NULL
464019,654,146,3,NULL
464020,773,42,3,NULL
464021,924,205,4,NULL
464022,337,67,4,NULL
464023,843,210,3,NULL
464024,807,28,4,NULL
464025,828,6,1,NULL
464027,406,506,4,NULL
464028,280,70,4,NULL
464029,892,613,5,NULL
464030,796,265,5,NULL
464031,632,201,4,NULL
464032,907,83,5,NULL
464033,146,294,1,NULL
464034,890,1,4,NULL
464035,886,178,5,NULL
464036,771,477,5,NULL
464037,620,406,4,NULL
464038,59,526,4,NULL
464040,854,632,4,NULL
464043,806,227,2,NULL
464044,713,752,2,NULL
464045,840,661,5,NULL
464046,749,161,3,NULL
464047,477,546,4,NULL
464049,198,89,5,NULL
464050,864,196,4,NULL
464051,568,488,5,NULL
464052,626,678,1,NULL
464053,620,94,5,NULL
464054,874,305,4,NULL
464055,751,214,4,NULL
464056,632,523,3,NULL
464057,826,578,5,NULL
464058,640,2,4,NULL
464059,7,569,4,NULL
464060,940,151,3,NULL
464061,664,566,4,NULL
464063,848,108,5,NULL
464064,808,751,3,NULL
464065,771,86,5,NULL
464066,49,652,5,NULL
464067,669,22,3,NULL
464068,924,496,5,NULL
464069,839,118,2,NULL
464070,846,705,3,NULL
464071,859,275,3,NULL
464072,548,347,2,NULL
464073,483,101,2,NULL
464074,463,313,4,NULL
464075,880,260,4,NULL
464076,822,91,3,NULL
464077,655,15,3,NULL
464078,638,202,3,NULL
464079,757,576,3,NULL
464081,617,496,1,NULL
464083,889,174,4,NULL
464084,230,422,3,NULL
464085,73,183,4,NULL
464086,902,172,4,NULL
464088,489,688,2,NULL
464089,899,255,4,NULL
464090,854,652,3,NULL
464091,883,100,4,NULL
464092,802,288,3,NULL
464093,790,928,3,NULL
464094,755,258,5,NULL
464095,503,211,5,NULL
464096,399,820,4,NULL
464097,404,938,4,NULL
464098,303,655,5,NULL
464099,698,10,4,NULL
464100,933,467,3,NULL
464101,279,833,4,NULL
464102,854,56,5,NULL
464103,864,239,4,NULL
464104,664,431,2,NULL
464105,891,111,3,NULL
464107,697,280,3,NULL
464108,544,877,2,NULL
464109,746,132,4,NULL
464110,655,803,3,NULL
464111,638,211,4,NULL
464112,614,289,2,NULL
464113,886,94,4,NULL
464114,923,105,4,NULL
464115,894,529,4,NULL
464116,510,748,3,NULL
464117,815,82,4,NULL
464118,780,204,5,NULL
464119,876,435,4,NULL
464120,798,394,4,NULL
464121,938,829,1,NULL
464122,487,204,4,NULL
464123,618,755,2,NULL
464125,786,198,5,NULL
464126,37,233,4,NULL
464127,603,250,5,NULL
464128,943,402,2,NULL
464131,883,956,4,NULL
464132,569,301,4,NULL
464133,753,272,4,NULL
464134,881,411,3,NULL
464135,527,279,4,NULL
464136,524,651,4,NULL
464137,806,45,4,NULL
464138,940,173,4,NULL
464139,561,507,4,NULL
464140,546,5,5,NULL
464141,276,685,4,NULL
464142,727,588,4,NULL
464143,535,484,5,NULL
464144,773,109,4,NULL
464145,453,763,4,NULL
464146,830,625,3,NULL
464147,453,451,2,NULL
464149,459,405,3,NULL
464150,327,83,2,NULL
464151,308,223,4,NULL
464152,622,541,2,NULL
464154,142,91,5,NULL
464155,394,123,5,NULL
464156,827,245,3,NULL
464157,801,302,4,NULL
464158,862,825,5,NULL
464159,836,531,4,NULL
464160,723,168,5,NULL
464161,807,470,5,NULL
464162,184,192,4,NULL
464163,919,558,5,NULL
464164,128,380,4,NULL
464165,611,906,2,NULL
464166,835,191,4,NULL
464167,699,286,3,NULL
464168,750,325,1,NULL
464169,838,705,5,NULL
464170,489,347,5,NULL
464171,42,168,3,NULL
464172,864,5,4,NULL
464173,221,399,3,NULL
464174,500,313,3,NULL
464175,94,86,5,NULL
464176,274,756,3,NULL
464177,747,210,4,NULL
464178,437,602,3,NULL
