id,user_id,movie_id,rating,title
206,1,61,4,"Run of the Arrow"
309,1,189,3,"Steel Magnolias"
337,1,33,4,"Eloise at Christmastime"
338,1,160,4,"Welcome Mr. Marshall (Bienvenido Mister Marshall)"
482,1,20,4,"French Cancan"
643,1,202,5,Casablanca
691,1,171,5,"Track 29"
824,1,265,4,"Mambo Italiano"
937,1,155,2,"300: Rise of an Empire"
976,1,117,3,"Truly, Madly, Deeply"
1171,1,47,4,"Invitation to Happiness"
1303,1,222,4,"Time After Time"
1386,1,253,5,"Pyramid, The"
1444,1,113,5,"Code Name Coq Rouge"
1621,1,227,4,"United States of Leland, The"
1784,1,17,3,"Finger, The (Dedo, El)"
1993,1,90,4,"Main Street"
2332,1,64,5,Dillinger
3053,1,92,3,Albuquerque
3063,1,228,5,"Loving Annabelle"
3175,1,266,1,"At Home by Myself... with You"
3195,1,121,4,"Once My Mother"
3238,1,114,5,Hackers
3250,1,132,4,"Marlene Dietrich: Shadow and Light"
3252,1,74,1,"City by the Sea"
3264,1,134,4,"The Stanford Prison Experiment"
3362,1,98,4,"Dirty Sanchez: The Movie"
3381,1,186,4,"A Matador's Mistress"
3435,1,221,5,"Blow-Up (Blowup)"
3714,1,84,4,"Deconstructing Harry"
3737,1,31,3,"Guyana Tragedy: The Story of Jim Jones"
3840,1,70,3,"No Time for Love"
3892,1,60,5,"Man in the Iron Mask, The"
3913,1,177,5,"Genealogies of a Crime (Généalogies d'un crime)"
4005,1,27,2,"Karate Kid, Part II, The"
4074,1,260,1,"Lone Wolf McQuade"
4169,1,145,2,"Abandon Ship! (Seven Waves Away)"
4181,1,174,5,"God Bless Ozzy Osbourne"
4236,1,159,3,"Monster Club, The"
4284,1,82,5,"Girl Shy"
4294,1,56,4,"Torn Curtain"
4310,1,272,3,"Live and Become (Va, vis et deviens)"
4415,1,80,4,Timecop
4843,1,229,4,"Shock and Awe: The Story of Electricity"
4923,1,140,1,"Duellists, The"
4967,1,225,2,"Accidental Husband, The"
4978,1,235,5,"Mystery Road"
5145,1,120,1,Valentino
